year;respondent;judge
2014;ROU;MOTOC
2015;ROU;MOTOC
2016;ROU;MOTOC
2017;ROU;MOTOC
2018;ROU;MOTOC
2019;ROU;MOTOC
2020;ROU;MOTOC
1997;RUS;TOUMANOV
1998;RUS;TOUMANOV
1999;RUS;KOVLER
2000;RUS;KOVLER
2001;RUS;KOVLER
2002;RUS;KOVLER
2003;RUS;KOVLER
2004;RUS;KOVLER
2005;RUS;KOVLER
2006;RUS;KOVLER
2007;RUS;KOVLER
2008;RUS;KOVLER
2009;RUS;KOVLER
2010;RUS;KOVLER
2011;RUS;KOVLER
2012;RUS;KOVLER
2013;RUS;DEDOV
2014;RUS;DEDOV
2015;RUS;DEDOV
2016;RUS;DEDOV
2017;RUS;DEDOV
2018;RUS;DEDOV
2019;RUS;DEDOV
2020;RUS;DEDOV
1991;SMR;BIGI
1992;SMR;BIGI
1993;SMR;BIGI
1994;SMR;BIGI
1995;SMR;BIGI
1996;SMR;BIGI
1998;SMR;FERRARI BRAVO
1999;SMR;FERRARI BRAVO
2000;SMR;FERRARI BRAVO
2001;SMR;
2002;SMR;MULARONI
2003;SMR;MULARONI
2004;SMR;MULARONI
2005;SMR;MULARONI
2006;SMR;MULARONI
2007;SMR;MULARONI
2008;SMR;MULARONI
2009;SMR;PARDALOS
2010;SMR;PARDALOS
2011;SMR;PARDALOS
2012;SMR;PARDALOS
2013;SMR;PARDALOS
2014;SMR;PARDALOS
2015;SMR;PARDALOS
2016;SMR;PARDALOS
2017;SMR;PARDALOS
2018;SMR;
2019;SMR;FELICI
2020;SMR;FELICI
2005;SRB;POPOVIC
2006;SRB;POPOVIC
2007;SRB;POPOVIC
2008;SRB;POPOVIC
2009;SRB;POPOVIC
2010;SRB;POPOVIC
2011;SRB;POPOVIC
2012;SRB;POPOVIC
2013;SRB;POPOVIC
2014;SRB;POPOVIC
2015;SRB;
2016;SRB;LUBARDA
2017;SRB;LUBARDA
2018;SRB;LUBARDA
2019;SRB;LUBARDA
2020;SRB;LUBARDA
1992;SVK;REPIK
1993;SVK;REPIK
1994;SVK;REPIK
1995;SVK;REPIK
1996;SVK;REPIK
1997;SVK;REPIK
1998;SVK;
1999;SVK;STRAZNICKA
2000;SVK;STRAZNICKA
2001;SVK;STRAZNICKA
2002;SVK;STRAZNICKA
2003;SVK;STRAZNICKA
2004;SVK;
2005;SVK;SIKUTA
2006;SVK;SIKUTA
2007;SVK;SIKUTA
2008;SVK;SIKUTA
2009;SVK;SIKUTA
2010;SVK;SIKUTA
2011;SVK;SIKUTA
2012;SVK;SIKUTA
2013;SVK;SIKUTA
2014;SVK;SIKUTA
2015;SVK;SIKUTA
2016;SVK;POLACKOVA
2017;SVK;POLACKOVA
2018;SVK;POLACKOVA
2019;SVK;POLACKOVA
2020;SVK;POLACKOVA
1993;SVN;JAMBREK
1994;SVN;JAMBREK
1995;SVN;JAMBREK
1996;SVN;JAMBREK
1997;SVN;JAMBREK
1998;SVN;
1999;SVN;ZUPANIC
2000;SVN;ZUPANIC
2001;SVN;ZUPANIC
2002;SVN;ZUPANIC
2003;SVN;ZUPANIC
2004;SVN;ZUPANIC
2005;SVN;ZUPANIC
2006;SVN;ZUPANIC
2007;SVN;ZUPANIC
2008;SVN;ZUPANIC
2009;SVN;ZUPANIC
2010;SVN;ZUPANIC
2011;SVN;ZUPANIC
2012;SVN;ZUPANIC
2013;SVN;ZUPANIC
2014;SVN;ZUPANIC
2015;SVN;ZUPANIC
2016;SVN;
2017;SVN;BOSNJAK
2018;SVN;BOSNJAK
2019;SVN;BOSNJAK
2020;SVN;BOSNJAK
1990;ESP;MORENILLA
1991;ESP;MORENILLA
1992;ESP;MORENILLA
1993;ESP;MORENILLA
1994;ESP;MORENILLA
1995;ESP;MORENILLA
1996;ESP;MORENILLA
1997;ESP;MORENILLA
1998;ESP;
1999;ESP;PASTOR RIDRUEJO
2000;ESP;PASTOR RIDRUEJO
2001;ESP;PASTOR RIDRUEJO
2002;ESP;PASTOR RIDRUEJO
2003;ESP;
2004;ESP;BORREGO BORREGO
2005;ESP;BORREGO BORREGO
2006;ESP;BORREGO BORREGO
2007;ESP;BORREGO BORREGO
2008;ESP;
2009;ESP;LOPEZ GUERRA
2010;ESP;LOPEZ GUERRA
2011;ESP;LOPEZ GUERRA
2012;ESP;LOPEZ GUERRA
2013;ESP;LOPEZ GUERRA
2014;ESP;LOPEZ GUERRA
2015;ESP;LOPEZ GUERRA
2016;ESP;LOPEZ GUERRA
2017;ESP;LOPEZ GUERRA
2018;ESP;
2019;ESP;ELOSEGUI
2020;ESP;ELOSEGUI
1990;SWE;PALM
1991;SWE;PALM
1992;SWE;PALM
1993;SWE;PALM
1994;SWE;PALM
1995;SWE;PALM
1996;SWE;PALM
1997;SWE;PALM
1998;SWE;PALM
1999;SWE;PALM
2000;SWE;PALM
2001;SWE;PALM
2002;SWE;PALM
2003;SWE;
2004;SWE;FURA
2005;SWE;FURA
2006;SWE;FURA
2007;SWE;FURA
2008;SWE;FURA
2009;SWE;FURA
2010;SWE;FURA
2011;SWE;FURA
2012;SWE;
2013;SWE;JADERBLOM
2014;SWE;JADERBLOM
2015;SWE;JADERBLOM
2016;SWE;JADERBLOM
2017;SWE;JADERBLOM
2018;SWE;JADERBLOM
2019;SWE;WENNERSTROM
2020;SWE;WENNERSTROM
1990;CHE;BINDSCHEDLER-ROBERT
1991;CHE;
1992;CHE;WILDHABER
1993;CHE;WILDHABER
1994;CHE;WILDHABER
1995;CHE;WILDHABER
1996;CHE;WILDHABER
1997;CHE;WILDHABER
1998;CHE;WILDHABER (president)
1999;CHE;WILDHABER (president)
2000;CHE;WILDHABER (president)
2001;CHE;WILDHABER (president)
2002;CHE;WILDHABER (president)
2003;CHE;WILDHABER (president)
2004;CHE;WILDHABER (president)
2005;CHE;WILDHABER (president)
2006;CHE;WILDHABER (president)
2007;CHE;MALINVERNI
2008;CHE;MALINVERNI
2009;CHE;MALINVERNI
2010;CHE;MALINVERNI
2011;CHE;
2012;CHE;KELLER
2013;CHE;KELLER
2014;CHE;KELLER
2015;CHE;KELLER
2016;CHE;KELLER
2017;CHE;KELLER
2018;CHE;KELLER
2019;CHE;KELLER
2020;CHE;KELLER
1990;TUR;GOLCUKLU
1991;TUR;GOLCUKLU
1992;TUR;GOLCUKLU
1993;TUR;GOLCUKLU
1994;TUR;GOLCUKLU
1995;TUR;GOLCUKLU
1996;TUR;GOLCUKLU
1997;TUR;GOLCUKLU
1998;TUR;
1999;TUR;TURMEN
2000;TUR;TURMEN
2001;TUR;TURMEN
2002;TUR;TURMEN
2003;TUR;TURMEN
2004;TUR;TURMEN
2005;TUR;TURMEN
2006;TUR;TURMEN
2007;TUR;TURMEN
2008;TUR;
2009;TUR;KARAKAS
2010;TUR;KARAKAS
2011;TUR;KARAKAS
2012;TUR;KARAKAS
2013;TUR;KARAKAS
2014;TUR;KARAKAS
2015;TUR;KARAKAS
2016;TUR;KARAKAS
2017;TUR;KARAKAS
2018;TUR;KARAKAS
2019;TUR;
2020;TUR;YUKSEL
1996;UKR;BUTKEVYCH
1997;UKR;BUTKEVYCH
1998;UKR;BUTKEVYCH
1999;UKR;BUTKEVYCH
2000;UKR;BUTKEVYCH
2001;UKR;BUTKEVYCH
2002;UKR;BUTKEVYCH
2003;UKR;BUTKEVYCH
2004;UKR;BUTKEVYCH
2005;UKR;BUTKEVYCH
2006;UKR;BUTKEVYCH
2007;UKR;BUTKEVYCH
2008;UKR;BUTKEVYCH
2010;UKR;YUDKIVSKA
2011;UKR;YUDKIVSKA
2012;UKR;YUDKIVSKA
2013;UKR;YUDKIVSKA
2014;UKR;YUDKIVSKA
2015;UKR;YUDKIVSKA
2016;UKR;YUDKIVSKA
2017;UKR;YUDKIVSKA
2018;UKR;YUDKIVSKA
2019;UKR;YUDKIVSKA
2020;UKR;YUDKIVSKA
1990;GBR;EVANS
1991;GBR;FREELAND
1992;GBR;FREELAND
1993;GBR;FREELAND
1994;GBR;FREELAND
1995;GBR;FREELAND
1996;GBR;FREELAND
1997;GBR;FREELAND
1998;GBR;
1999;GBR;BRATZA
2000;GBR;BRATZA
2001;GBR;BRATZA
2002;GBR;BRATZA
2003;GBR;BRATZA
2004;GBR;BRATZA
2005;GBR;BRATZA
2006;GBR;BRATZA
2007;GBR;BRATZA
2008;GBR;BRATZA
2009;GBR;BRATZA
2010;GBR;BRATZA
2011;GBR;BRATZA (president)
2012;GBR;
2013;GBR;MAHONEY
2014;GBR;MAHONEY
2015;GBR;MAHONEY
2016;GBR;
2017;GBR;EICKE
2018;GBR;EICKE
2019;GBR;EICKE
2020;GBR;EICKE
