year;respondent;judge
2019;BGR;GROZEV
2020;BGR;GROZEV
1998;HRV;VAJIC
1999;HRV;VAJIC
2000;HRV;VAJIC
2001;HRV;VAJIC
2002;HRV;VAJIC
2003;HRV;VAJIC
2004;HRV;VAJIC
2005;HRV;VAJIC
2006;HRV;VAJIC
2007;HRV;VAJIC
2008;HRV;VAJIC
2009;HRV;VAJIC
2010;HRV;VAJIC
2011;HRV;VAJIC
2012;HRV;VAJIC
2013;HRV;TURKOVIC
2014;HRV;TURKOVIC
2015;HRV;TURKOVIC
2016;HRV;TURKOVIC
2017;HRV;TURKOVIC
2018;HRV;TURKOVIC
2019;HRV;TURKOVIC
2020;HRV;TURKOVIC
1990;CYP;LOIZOU
1991;CYP;LOIZOU
1992;CYP;LOIZOU
1993;CYP;LOIZOU
1994;CYP;LOIZOU
1995;CYP;LOIZOU
1996;CYP;LOIZOU
1997;CYP;LOIZOU
1998;CYP;
1999;CYP;LOUCAIDES
2000;CYP;LOUCAIDES
2001;CYP;LOUCAIDES
2002;CYP;LOUCAIDES
2003;CYP;LOUCAIDES
2004;CYP;LOUCAIDES
2005;CYP;LOUCAIDES
2006;CYP;LOUCAIDES
2007;CYP;LOUCAIDES
2008;CYP;
2009;CYP;NICOLAOU
2010;CYP;NICOLAOU
2011;CYP;NICOLAOU
2012;CYP;NICOLAOU
2013;CYP;NICOLAOU
2014;CYP;NICOLAOU
2015;CYP;NICOLAOU
2016;CYP;
2017;CYP;SERGHIDES
2018;CYP;SERGHIDES
2019;CYP;SERGHIDES
2020;CYP;SERGHIDES
1993;CZE;JUNGWIERT
1994;CZE;JUNGWIERT
1995;CZE;JUNGWIERT
1996;CZE;JUNGWIERT
1997;CZE;JUNGWIERT
1998;CZE;JUNGWIERT
1999;CZE;JUNGWIERT
2000;CZE;JUNGWIERT
2001;CZE;JUNGWIERT
2002;CZE;JUNGWIERT
2003;CZE;JUNGWIERT
2004;CZE;JUNGWIERT
2005;CZE;JUNGWIERT
2006;CZE;JUNGWIERT
2007;CZE;JUNGWIERT
2008;CZE;JUNGWIERT
2009;CZE;JUNGWIERT
2010;CZE;JUNGWIERT
2011;CZE;JUNGWIERT
2012;CZE;
2013;CZE;PEJCHAL
2014;CZE;PEJCHAL
2015;CZE;PEJCHAL
2016;CZE;PEJCHAL
2017;CZE;PEJCHAL
2018;CZE;PEJCHAL
2019;CZE;PEJCHAL
2020;CZE;PEJCHAL
1990;DNK;FOIGHEL
1991;DNK;FOIGHEL
1992;DNK;FOIGHEL
1993;DNK;FOIGHEL
1994;DNK;FOIGHEL
1995;DNK;FOIGHEL
1996;DNK;FOIGHEL
1997;DNK;FOIGHEL
1998;DNK;
1999;DNK;LORENZEN
2000;DNK;LORENZEN
2001;DNK;LORENZEN
2002;DNK;LORENZEN
2003;DNK;LORENZEN
2004;DNK;LORENZEN
2005;DNK;LORENZEN
2006;DNK;LORENZEN
2007;DNK;LORENZEN
2008;DNK;LORENZEN
2009;DNK;LORENZEN
2010;DNK;LORENZEN
2011;DNK;LORENZEN
2012;DNK;LORENZEN
2013;DNK;LORENZEN
2014;DNK;
2015;DNK;KJOLBRO
2016;DNK;KJOLBRO
2017;DNK;KJOLBRO
2018;DNK;KJOLBRO
2019;DNK;KJOLBRO
2020;DNK;KJOLBRO
1994;EST;LOHMUS
1995;EST;LOHMUS
1996;EST;LOHMUS
1997;EST;LOHMUS
1998;EST;
1999;EST;MARUSTE
2000;EST;MARUSTE
2001;EST;MARUSTE
2002;EST;MARUSTE
2003;EST;MARUSTE
2004;EST;MARUSTE
2005;EST;MARUSTE
2006;EST;MARUSTE
2007;EST;MARUSTE
2008;EST;MARUSTE
2009;EST;MARUSTE
2010;EST;MARUSTE
2011;EST;LAFFRANQUE
2012;EST;LAFFRANQUE
2013;EST;LAFFRANQUE
2014;EST;LAFFRANQUE
2015;EST;LAFFRANQUE
2016;EST;LAFFRANQUE
2017;EST;LAFFRANQUE
2018;EST;LAFFRANQUE
2019;EST;LAFFRANQUE
2020;EST;LAFFRANQUE
1990;FIN;PEKKANEN
1991;FIN;PEKKANEN
1992;FIN;PEKKANEN
1993;FIN;PEKKANEN
1994;FIN;PEKKANEN
1995;FIN;PEKKANEN
1996;FIN;PEKKANEN
1997;FIN;PEKKANEN
1998;FIN;
1999;FIN;PELLONPAA
2000;FIN;PELLONPAA
2001;FIN;PELLONPAA
2002;FIN;PELLONPAA
2003;FIN;PELLONPAA
2004;FIN;PELLONPAA
2005;FIN;PELLONPAA
2006;FIN;PELLONPAA
2007;FIN;HIRVELA
2008;FIN;HIRVELA
2009;FIN;HIRVELA
2010;FIN;HIRVELA
2011;FIN;HIRVELA
2012;FIN;HIRVELA
2013;FIN;HIRVELA
2014;FIN;HIRVELA
2015;FIN;HIRVELA
2016;FIN;KOSKELO
2017;FIN;KOSKELO
2018;FIN;KOSKELO
2019;FIN;KOSKELO
2020;FIN;KOSKELO
1990;FRA;PETTITI
1991;FRA;PETTITI
1992;FRA;PETTITI
1993;FRA;PETTITI
1994;FRA;PETTITI
1995;FRA;PETTITI
1996;FRA;PETTITI
1997;FRA;PETTITI
1998;FRA;
1999;FRA;COSTA
2000;FRA;COSTA
2001;FRA;COSTA
2002;FRA;COSTA
2003;FRA;COSTA
2004;FRA;COSTA
2005;FRA;COSTA
2006;FRA;COSTA
2007;FRA;COSTA (president)
2008;FRA;COSTA (president)
2009;FRA;COSTA (president)
2010;FRA;COSTA (president)
2011;FRA;
2012;FRA;POTOCKI
2013;FRA;POTOCKI
2014;FRA;POTOCKI
2015;FRA;POTOCKI
2016;FRA;POTOCKI
2017;FRA;POTOCKI
2018;FRA;POTOCKI
2019;FRA;POTOCKI
2020;FRA;POTOCKI
1999;GEO;UGREKHELIDZE
2000;GEO;UGREKHELIDZE
2001;GEO;UGREKHELIDZE
2002;GEO;UGREKHELIDZE
2003;GEO;UGREKHELIDZE
2004;GEO;UGREKHELIDZE
2005;GEO;UGREKHELIDZE
2006;GEO;UGREKHELIDZE
2007;GEO;UGREKHELIDZE
2008;GEO;
2009;GEO;TSOTSORIA
2010;GEO;TSOTSORIA
2011;GEO;TSOTSORIA
2012;GEO;TSOTSORIA
2013;GEO;TSOTSORIA
2014;GEO;TSOTSORIA
2015;GEO;TSOTSORIA
2016;GEO;TSOTSORIA
2017;GEO;TSOTSORIA
2018;GEO;
2019;GEO;CHANTURIA
2020;GEO;CHANTURIA
1990;DEU;BERNHARDT
1991;DEU;BERNHARDT
1992;DEU;BERNHARDT
1993;DEU;BERNHARDT
1994;DEU;BERNHARDT
1995;DEU;BERNHARDT
1996;DEU;BERNHARDT
